,Start,End
0,2024-11-08 18:42:52.777870,2024-11-08 18:42:54.462844
1,2024-11-08 18:42:54.987441,2024-11-08 18:42:55.141460
2,2024-11-08 18:42:55.305370,2024-11-08 18:42:56.982431
3,2024-11-08 18:42:58.264179,2024-11-08 18:42:58.428557
4,2024-11-08 18:42:58.706705,2024-11-08 18:43:07.160863
5,2024-11-08 18:43:08.206170,2024-11-08 18:43:08.686855
6,2024-11-08 18:43:08.924984,2024-11-08 18:43:09.727234
7,2024-11-08 18:43:10.003888,2024-11-08 18:43:10.044196
8,2024-11-08 18:43:11.848680,2024-11-08 18:43:14.011998
9,2024-11-08 18:43:16.100839,2024-11-08 18:43:16.299441
10,2024-11-08 18:43:16.496581,2024-11-08 18:43:19.140231
